Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Яремків,Прохір,Степанович,Чоловік,06.12.1952,Паралегал,село Новодністровськ,"набережна Мариністів, буд. 358 кв. 9, Гайворон, 97801",007 711-77-89,zabaraiaroslava@example.net
Бабенко,Оксенія,Віталіївна,Жінка,07.12.1951,Ботанік,місто Малин,"проспект Пересипська 2-га, буд. 4, Почаїв, 17008",+380 83 263 15 07,zhaliloruslan@example.org
Гавриленко,Святослава,Степанівна,Жінка,10.12.1937,Каскадер,село Покровськ,"шосе Львівський, буд. 6, Бершадь, 98341",+380 (96) 314-94-95,maksym49@example.org
Даценко,Оксана,Максимівна,Жінка,13.12.1926,Підприємець,село Моршин,"парк Магнітогорська, буд. 69, Покров, 81625",096 195 13 42,khoma18@example.org
Величко,Леопольд,Григорійович,Чоловік,07.12.1951,Астрофізик,село Апостолове,"сквер Братів Поджіо, буд. 4 кв. 9, Камінь-Каширський, 17190",022 439 86 78,shvachkovasyl@example.com
Фаренюк,Гаврило,Святославович,Чоловік,12.12.1931,Письменник,село Гірник ,"парк Наявний 3-й, буд. 92, Корсунь-Шевченківський, 54631",+380 08 797 95 00,cbaturynets@example.com
Архипенко,Маруся,Степанівна,Жінка,11.12.1932,Режисер,село Буча,"провулок Дев’ята, буд. 5 кв. 7, Шостка, 35892",+380 58 194-82-94,veniiamyn78@example.org
Тесленко,Аніта,Зеновіївна,Жінка,10.12.1937,Мірошник,село Гнівань,"площа Технічний, буд. 08, Севастополь, 16775",612-68-38,oleh37@example.net
Шморгун,Христина,Тарасівна,Жінка,13.12.1926,Штукатур,селище Борислав,"узвіз Мукачівський, буд. 6 кв. 676, Болград, 16672",+380 24 349-86-98,wlupii@example.net
Охримович,Тетяна,Романівна,Жінка,11.12.1932,Живописець,хутір Бережани,"площа 1-ша Лінія 6-й ст. Люстдорфської дороги, буд. 52 кв. 636, Великі Мости, 25598",+380 74 314-44-08,skybaadam@example.net
Нестеренко,Людмила,Богданівна,Жінка,09.12.1940,Кінорежисер,хутір Молодогвардійськ,"сквер Спортивний, буд. 547 кв. 1, Баранівка, 59972",+380 13 899 18 20,artymovychvladyslav@example.com
Абрамчук,Петро,Степанович,Чоловік,13.12.1927,Кур'єр,село Судак ,"узвіз Балківська, буд. 052, Енергодар, 56662",+380 06 814-38-91,dbatiuk@example.net
Рябошапка,Лариса,Святославівна,Жінка,10.12.1936,Астрофізик,місто Верхівцеве,"узвіз Вокзальна, буд. 628 кв. 63, Волноваха, 81724",432 11 16,zarubamykolai@example.com
Чередник,Панас,Максимович,Чоловік,11.12.1934,Електрик,селище Мерефа,"набережна Лінія 25-та, буд. 99 кв. 0, Ковель, 44222",057 870 37 60,zinkevychsemen@example.com
Колодуб,Богуслав,Максимович,Чоловік,14.12.1923,Графік,село Узин,"проспект Китобійна, буд. 291 кв. 030, Очаків, 67439",055 973 02 03,zhukanton@example.com
Ляшко,Орина,Святославівна,Жінка,08.12.1944,Каскадер,село Носівка,"набережна Новгородський, буд. 60 кв. 32, Городенка, 41217",310-73-81,iurchenkozorian@example.net
Вишняк,Олена,Зеновіївна,Жінка,14.12.1923,Електромонтер,місто Зимогір'я,"сквер Лиманний, буд. 10 кв. 75, Бершадь, 13385",+380 48 282-95-22,kyryloiaremenko@example.org
Сомко,Лесь,Ярославович,Чоловік,14.12.1923,Машиніст,хутір Євпаторія,"шосе Академіка Сахарова, буд. 6 кв. 95, Кипуче, 94865",+380 (56) 918-12-68,nsuprunenko@example.org
Ковпак,Юхим,Ігорович,Чоловік,07.12.1951,Історик,село Володимир-Волинський,"парк Товарний, буд. 204, Українськ, 26522",+380 59 548 68 56,zakharlubenets@example.org
Редько,Левко,Григорійович,Чоловік,13.12.1926,Реабілітолог,селище Турка,"парк Лиманний, буд. 475, Новоазовськ, 21974",037 440 26 07,leopoldieromenko@example.net
Шморгун,Августин,Ігорович,Чоловік,09.12.1940,Скульптор,місто Красногорівка,"узвіз Ширяївський, буд. 41 кв. 297, Горлівка, 09382",+380 32 597 05 99,nderiazhnyi@example.org
Корбут,Альберт,Віталійович,Чоловік,13.12.1926,Астрофізик,хутір Зіньків,"площа Флотський 2-й, буд. 8 кв. 309, Богуслав, 77152",054 398-94-06,zhuravelalla@example.com
Корбут,Давид,Тарасович,Чоловік,10.12.1938,Палеонтолог,село Первомайськ,"шосе Флотський 4-й, буд. 881, Куп'янськ, 73353",616 99 28,mykolaiieremenko@example.net
Бебешко,Августин,Васильович,Чоловік,07.12.1948,Підприємець,хутір Кременець,"вулиця Аеропортівський 1-й, буд. 944 кв. 069, Охтирка, 87529",030-95-91,mabramchuk@example.org
Бабак,Богданна,Артемівна,Жінка,10.12.1937,Фармацевт,село Вуглегірськ,"проспект Лузанівський, буд. 7, Щолкіне, 68285",508-93-09,irynamykhaliuk@example.net
Каденюк,Венедикт,Олегович,Чоловік,11.12.1934,Прокурор,село Болехів,"сквер Олександра Невського, буд. 63 кв. 6, Чоп, 05540",386-20-18,khrystyna07@example.org
Ісаєнко,Давид,Васильович,Чоловік,09.12.1943,Гінеколог,хутір Ровеньки,"вулиця Виноградний тупик, буд. 3 кв. 6, Шепетівка, 32454",+380 71 669 74 34,dankivsnizhana@example.com
Самойленко,Орина,Ігорівна,Жінка,10.12.1938,Модельєр,хутір Новоукраїнка,"площа Героїв оборони Одеси, буд. 4 кв. 97, Міусинськ, 91767",+380 15 447 12 25,skyrdakhoma@example.com
Чуприна,Марія,Степанівна,Жінка,08.12.1944,Програміст,хутір Покров,"провулок Йосипа Тимченка, буд. 76 кв. 938, Ладижин, 16367",+380 40 632-71-71,petrovasylechko@example.com
Заїка,Оксана,Святославівна,Жінка,14.12.1923,Скульптор,хутір Городище ,"площа Вапняний 2-й, буд. 265, Курахове, 05171",+380 21 256 74 41,lesiaremkiv@example.net
Аверченко,Назар,Артемович,Чоловік,13.12.1924,Антрополог,селище Житомир,"шосе Щоглова, буд. 2 кв. 7, Очаків, 81584",072 418 50 26,smykboleslav@example.com
Бараник,Онисим,Богданович,Чоловік,12.12.1930,Шериф,селище Жданівка,"сквер Пересипський 1-й, буд. 0, Краматорськ, 42335",028 616 46 78,oksana09@example.net
Михалюк,Дмитро,Олегович,Чоловік,13.12.1927,Дантист,місто Тальне,"набережна Пляжна, буд. 0, Заводське, 82245",+380 (13) 473-29-41,haivoronskyiillia@example.net
Гаврилюк,Дарина,Артемівна,Жінка,11.12.1934,Драматург,хутір Бережани,"шосе Ванний, буд. 8, Єнакієве, 59073",+380 (65) 711-03-63,pavlo16@example.com
Титаренко,Ганна,Романівна,Жінка,13.12.1924,Бухгалтер,селище Сватове,"вулиця Соляна, буд. 4, Чорноморськ, 68872",+380 24 397 62 85,babkoalevtyn@example.net
Зінкевич,Галина,Романівна,Жінка,07.12.1951,Психолог,хутір Іллінці,"проспект Китобійна, буд. 6 кв. 4, Антрацит , 62402",+380 46 489-57-23,zorian88@example.com
Фартушняк,Варфоломій,Олегович,Чоловік,09.12.1942,Геолог,селище Долина ,"набережна Авіаційна, буд. 85, Волноваха, 58584",+380 83 258-63-69,xbabak@example.org
Чаленко,Олександр,Романович,Чоловік,12.12.1929,Дантист,селище Дрогобич,"узвіз Донцова Дмитра, буд. 05, Суходільськ, 78404",926-91-98,jfurs@example.net
Приймак,Данна,Максимівна,Жінка,10.12.1937,Хімік,село Українка ,"шосе Мічуріна, буд. 0, Чортків, 13448",+380 54 956 14 65,iosypiaremenko@example.org
Яценюк,Захар,Зеновійович,Чоловік,12.12.1928,Реабілітолог,село Севастополь,"узвіз Карпатська, буд. 40, Ромни, 02543",015 641-87-77,iudovenko@example.net
Чубай,Марʼяна,Ігорівна,Жінка,10.12.1936,Ювелір,місто Перещепине,"парк Митна, буд. 89 кв. 9, Батурин, 87402",421-80-37,iarema14@example.net
